AppID,Name,Discount,Price,Rating,Release,Ends,Started
1150530,Wizard with a Gun,0.5,29.99,78.31,2023-10,1,-9
350970,Planet of the Eyes,0.0,3.29,78.3,2015-08,5,-2
1044450,Hentai Waifu,0.0,1.74,78.29,2019-03,10,-4
277490,Battle Group 2,0.0,6.39,78.2,2014-06,5,-2
302080,Bus Driver,0.0,3.21,78.18,2007-03,8,-6
1104330,Founders' Fortune,0.7,13.79,78.15,2020-12,5,-2
345090,Ancient Planet Tower Defense,0.0,5.77,78.15,2015-02,5,-2
325180,AppGameKit Classic: Easy Game Development,0.0,40.5,78.09,2014-11,-2,0
2024230,Project Lazarus,0.0,10.24,78.08,2023-06,5,-2
1171310,Valakas Story,0.0,1.74,78.08,2019-12,5,-2
1849000,SEX with HITLER,0.75,3.62,78.07,2022-01,12,-2
455980,Judgment: Apocalypse Survival Simulation,0.0,23.99,78.06,2018-05,1,-13
673260,Starblast,0.0,9.99,78.01,2017-11,5,-2
3020,Call of Juarez,0.9,2.99,77.99,2007-06,9,0
331600,One Piece Pirate Warriors 3,0.0,15.99,77.99,2015-08,5,-2
1202310,Sakura Succubus,0.0,6.2,77.96,2020-03,5,-2
350640,Sherlock Holmes: The Devil's Daughter,0.0,16.5,77.88,2016-06,5,-2
207020,Bang Bang Racing,0.0,3.39,77.84,2012-06,5,-2
266230,Last Dream,0.0,9.89,77.84,2014-03,5,-2
425220,One Piece Burning Blood,0.9,12.99,77.79,2016-09,5,-2
621830,WRC 7 FIA World Rally Championship,0.9,4.79,77.74,2017-09,5,-2
622720,Weedcraft Inc,0.0,14.99,77.7,2019-04,1,-6
534380,Dying Light 2 Stay Human: Reloaded Edition,0.0,129.47,77.56,2022-02,0,0
3010,Xpand Rally,0.0,1.86,77.51,2006-08,2,-12
258760,Scania Truck Driving Simulator,0.0,6.39,77.41,2012-06,8,-6
1164690,Wigmund,0.7,8.69,77.31,2022-03,5,-2
957790,War Dust VR: 32v32 Battlefields,0.6,18.99,77.3,2020-05,14,0
1075740,Banners of Ruin,0.7,11.39,77.16,2021-07,1,-6
297130,Titan Souls,0.0,4.69,77.14,2015-04,1,-6
1177660,Escape the Ayuwoki,0.0,17.89,77.08,2019-11,5,-2
599460,Weapon Shop Fantasy,0.0,10.34,77.05,2017-02,7,-7
415740,OmniBus,0.0,3.39,77.04,2016-05,1,-6
717610,A Case of Distrust,0.8,5.79,77.03,2018-02,5,-2
